Age,Marital,Default,Balance,Housing Loan,Personal Loan,Current Campaign,Churn
56,Divorced,1,36515,1,0,0,1
69,Divorced,0,87144,0,1,0,1
46,Divorced,1,25898,0,1,0,1
32,Married,0,-81,0,0,1,0
60,Married,0,48070,1,0,0,0
25,Married,0,60613,1,0,0,1
78,Married,0,94707,1,0,0,1
38,Married,1,84135,0,0,1,0
56,Divorced,1,80501,1,0,1,0
75,Single,1,45003,0,1,1,0
36,Divorced,1,46478,0,1,0,1
40,Single,0,12434,0,0,0,0
28,Married,1,44246,0,1,0,1
28,Single,0,34649,0,0,0,0
41,Divorced,0,57030,0,0,0,0
70,Divorced,1,51061,0,1,1,0
53,Single,0,-1,1,1,0,0
57,Married,1,12849,0,0,0,1
41,Married,1,74439,1,0,1,0
20,Divorced,1,50800,0,0,1,0
39,Single,1,3445,0,1,1,0
70,Married,1,98932,0,0,1,0
19,Married,0,16040,1,0,1,0
41,Divorced,1,62315,0,1,0,1
61,Married,1,-1754,0,1,0,1
47,Single,0,29153,1,1,0,0
55,Divorced,1,3212,1,0,0,1
19,Divorced,1,1339,1,0,0,1
77,Single,0,86678,1,1,1,0
38,Divorced,0,54238,0,0,0,1
50,Married,1,17394,0,0,0,1
29,Married,0,51871,1,1,1,0
75,Single,1,98672,0,1,1,0
39,Married,0,75722,1,0,0,0
78,Single,1,32607,1,1,0,1
61,Single,1,50055,1,1,1,0
42,Married,1,2395,0,0,0,1
66,Single,0,13290,1,0,1,0
44,Married,1,85687,0,0,0,1
76,Divorced,0,63078,0,0,1,0
59,Divorced,1,1691,0,0,1,0
45,Single,1,5470,1,0,1,0
77,Married,1,1841,0,1,0,0
33,Married,1,61197,1,1,1,0
32,Divorced,1,53773,0,1,1,1
79,Divorced,0,15776,0,0,0,1
79,Married,0,69596,0,0,0,1
64,Single,0,25584,1,0,0,0
79,Divorced,1,2300,1,0,1,0
68,Single,1,1338,1,0,1,0
61,Single,0,60601,1,1,1,0
72,Divorced,1,3487,0,0,0,1
69,Single,1,34282,0,1,0,1
74,Single,1,93065,1,0,1,1
20,Married,0,93798,1,1,0,1
54,Single,0,74816,1,1,0,0
68,Married,0,26804,1,1,1,0
24,Divorced,0,7915,0,1,1,0
38,Divorced,0,9158,1,1,0,0
26,Married,1,72157,1,1,1,0
56,Divorced,1,8547,0,1,0,1
35,Single,1,86713,1,0,0,1
21,Single,1,459,0,0,1,0
42,Single,0,26768,1,1,1,0
77,Divorced,0,61146,0,0,0,1
31,Single,1,48870,1,0,0,1
67,Divorced,0,48460,1,1,1,0
75,Single,1,80970,1,0,0,1
26,Married,1,58817,1,1,0,1
43,Divorced,1,36247,1,0,0,1
70,Divorced,1,13419,0,1,0,1
19,Single,0,98553,1,0,0,1
37,Divorced,1,33577,0,1,1,0
45,Divorced,0,921,0,0,0,0
64,Married,1,2676,0,0,0,0
77,Married,1,83961,0,0,1,1
24,Single,1,98721,1,1,1,0
61,Married,1,47684,1,1,1,0
78,Single,0,11463,1,0,0,0
25,Single,1,23474,1,0,0,1
64,Single,0,38935,0,1,1,0
52,Divorced,1,65005,0,0,1,1
31,Married,1,56596,0,0,1,0
34,Single,1,70828,1,1,1,0
53,Married,0,88945,1,1,1,0
67,Single,1,87062,1,0,0,1
57,Married,1,53152,1,1,1,0
21,Married,1,87001,0,0,0,1
19,Single,1,94491,1,0,0,1
79,Divorced,1,90321,1,1,1,0
23,Married,0,84569,0,0,1,0
71,Divorced,0,70467,0,1,1,0
59,Divorced,1,50576,1,1,1,0
21,Single,1,64627,1,0,1,0
71,Single,0,23772,0,1,0,0
46,Single,1,14363,1,0,1,0
35,Married,0,26490,0,1,1,0
43,Single,1,57004,0,0,0,1
61,Single,1,51806,1,1,1,0
51,Married,0,-1740,0,0,1,0
27,Married,1,73992,1,0,1,0
79,Single,0,20320,1,1,0,0
53,Single,0,76971,1,0,1,0
31,Single,0,40145,1,0,1,0
48,Single,1,61688,0,0,1,0
65,Divorced,0,46581,1,0,1,0
32,Divorced,0,90561,1,0,0,1
25,Single,1,91645,0,0,1,0
31,Divorced,1,18754,1,1,0,1
40,Married,1,67837,1,1,1,0
77,Divorced,1,5207,1,1,1,0
74,Divorced,1,25920,1,1,1,0
79,Single,1,85739,0,0,0,1
57,Divorced,0,85081,0,0,1,0
38,Divorced,1,22016,1,1,1,0
33,Divorced,0,94634,0,0,0,1
62,Divorced,1,58522,0,1,1,0
35,Married,0,72092,0,0,1,0
64,Single,0,52068,0,0,1,0
70,Single,1,18102,1,1,1,0
41,Married,1,-76,0,0,0,1
43,Divorced,0,83015,1,1,0,1
42,Married,1,52333,1,1,0,1
77,Divorced,1,82458,0,1,1,0
77,Married,0,82196,1,0,1,0
77,Single,0,44099,0,0,1,0
62,Single,0,55346,1,1,1,0
58,Single,1,73481,1,0,0,1
